name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
"Perry, NY",1/1/2021,2.2,-3.7,-0.4,-0.6,-7.5,-4.2,-3.8,78,5.95,100,29.17,"rain,snow",0,7.4,38.9,22.9,145.5,1026.1,67.4,14.7,13.3,1.1,1,,2021-01-01T07:42:35,2021-01-01T16:49:13,0.53,"Snow, Rain, Partially cloudy",Becoming cloudy in the afternoon with rain or snow.,rain,"72529014768,KGVQ,KROC,KBUF,72498894704,KDSV,C4954"
"Perry, NY",1/2/2021,4.3,0.7,2.2,1.5,-3.5,-1,-0.2,83.8,6.28,100,41.67,"rain,snow",0,5.2,44.2,23,243.9,1014.4,99.4,14.6,27.6,2.3,1,,2021-01-02T07:42:38,2021-01-02T16:50:06,0.56,"Snow, Rain, Overcast",Cloudy skies throughout the day with rain or snow clearing later.,rain,"72529014768,KGVQ,KROC,E6481,KBUF,72498894704,KDSV,C4954"
"Perry, NY",1/3/2021,2.9,0,1.6,1.4,-4,-1.2,-1.2,81.5,0.4,100,20.83,"rain,snow",0,4.6,,14.9,165.2,1015.7,94.2,15.4,9.3,0.9,0,,2021-01-03T07:42:38,2021-01-03T16:51:02,0.6,"Snow, Rain, Overcast",Cloudy skies throughout the day with rain or snow.,rain,"72529014768,KGVQ,KROC,E6481,KBUF,72498894704,KDSV,C4954"
"Perry, NY",1/4/2021,1.7,0.4,1,1.4,-1.6,0.2,-0.7,88.1,0.03,100,4.17,"rain,snow",0,3.1,,10.9,281.3,1016.7,100,10.9,8.4,0.7,0,,2021-01-04T07:42:36,2021-01-04T16:51:59,0.65,"Snow, Rain, Overcast",Cloudy skies throughout the day with afternoon rain or snow.,rain,"72529014768,KGVQ,KROC,E6481,KBUF,72498894704,KDSV,C4954"
"Perry, NY",1/5/2021,1.7,0.3,0.7,1,-3.1,-0.7,-1,88.2,0.4,100,16.67,"rain,snow",0,3,,12.2,192.9,1016,100,9.4,17.2,1.6,1,,2021-01-05T07:42:31,2021-01-05T16:52:58,0.7,"Snow, Rain, Overcast",Cloudy skies throughout the day with rain or snow.,rain,"72529014768,KGVQ,KROC,E6481,E6819,KBUF,72498894704,KDSV"
"Perry, NY",1/6/2021,1.1,-0.2,0.1,-2.7,-5,-3.8,-2.3,83.9,0.22,100,16.67,"rain,snow",0,3,,19.5,328.8,1022.5,99.9,14,16.7,1.4,1,,2021-01-06T07:42:24,2021-01-06T16:53:58,0.76,"Snow, Rain, Overcast",Cloudy skies throughout the day with rain or snow clearing later.,rain,"72529014768,KGVQ,KROC,E6481,E6819,KBUF,72498894704,KDSV"
"Perry, NY",1/7/2021,-0.2,-2.3,-1.1,-4.4,-6.6,-5.4,-4.7,76.8,0,0,0,,0,3,,16.7,323,1026,99.8,16,22.9,2,1,,2021-01-07T07:42:15,2021-01-07T16:55:00,0.82,Overcast,Cloudy skies throughout the day.,cloudy,"72529014768,KGVQ,KROC,E6481,KBUF,72498894704,KDSV"
"Perry, NY",1/8/2021,-2.3,-6.2,-3.5,-4.8,-10.3,-7.5,-6.2,81.3,0,0,0,,0,3,,14.3,244.3,1022.1,93.6,16,19.2,1.8,1,,2021-01-08T07:42:03,2021-01-08T16:56:03,0.87,Overcast,Cloudy skies throughout the day.,cloudy,"72529014768,KGVQ,KROC,E6481,KBUF,72498894704,KDSV"
"Perry, NY",1/9/2021,2.6,-8.1,-3.5,-0.6,-9.8,-5.1,-7.6,74.5,0,0,0,,0,3,,16.7,320.8,1021.2,35.1,16,71.6,6.3,4,,2021-01-09T07:41:49,2021-01-09T16:57:07,0.92,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72529014768,KGVQ,KROC,E6481,KBUF,72498894704,KDSV"
"Perry, NY",1/10/2021,2.7,-5.6,-2.1,-0.6,-7.8,-3.3,-5.2,79.2,0,0,0,,0,3,31.7,18.7,287.6,1026.1,50.4,16,38.4,3.3,3,,2021-01-10T07:41:33,2021-01-10T16:58:13,0.96,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,"72529014768,KGVQ,KROC,E6481,KBUF,72498894704,KDSV"
"Perry, NY",1/11/2021,5.1,-4,-0.1,3.9,-8,-2.9,-4.1,75.7,0.26,100,16.67,"rain,snow",0,3,44.6,13.5,198.3,1023.7,72.7,14.9,41.4,3.5,3,,2021-01-11T07:41:14,2021-01-11T16:59:20,0.99,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with rain or snow in the morning and afternoon.,rain,"72529014768,KGVQ,KROC,E6481,E6819,KBUF,72498894704,KDSV,C4954"
"Perry, NY",1/12/2021,0.8,-0.9,-0.4,-2.3,-4.7,-3.4,-4.6,73.1,0.17,100,29.17,"rain,snow",0,3,38.9,14.9,284.2,1020.4,100,13.5,8.1,0.7,0,,2021-01-12T07:40:52,2021-01-12T17:00:28,1,"Snow, Rain, Overcast",Cloudy skies throughout the day with rain or snow.,rain,"72529014768,KGVQ,KROC,E6481,E6819,KBUF,72498894704,KDSV,C4954"
"Perry, NY",1/13/2021,4.9,-0.5,1.3,1.8,-4.7,-2.2,-3.5,70.4,0.02,100,4.17,"rain,snow",0,3,33.5,17.8,196.7,1013.2,64.6,15.1,34.2,3.1,3,,2021-01-13T07:40:29,2021-01-13T17:01:37,0,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with early morning snow or rain.,rain,"72529014768,KGVQ,KROC,E6481,E6819,KBUF,72498894704,KDSV"
"Perry, NY",1/14/2021,4.3,1.9,3,4.3,-1,1.3,-0.4,78.7,0,0,0,,0,3,,12.1,194.3,1009.5,92.3,13.8,17.2,1.4,1,,2021-01-14T07:40:03,2021-01-14T17:02:47,0.01,Overcast,Cloudy skies throughout the day.,cloudy,"72529014768,KGVQ,KROC,E6481,E6819,KBUF,72498894704,KDSV"
"Perry, NY",1/15/2021,6.3,1.6,4.1,2.6,-1.9,0.6,0.1,75.6,1.72,100,20.83,rain,0,3,53.6,30.7,144,1008.3,66.5,14.4,26.4,2.2,2,,2021-01-15T07:39:35,2021-01-15T17:03:58,0.03,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"72529014768,KGVQ,KROC,E6481,KBUF,72498894704,KDSV,C4954"
"Perry, NY",1/16/2021,3.3,0.2,1.8,2.9,-4.3,-1,-1.5,79.4,0.35,100,12.5,"rain,snow",2,2.1,50.9,24.1,277.2,1000.8,88.8,15.1,62.2,5.3,3,,2021-01-16T07:39:04,2021-01-16T17:05:10,0.06,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with early morning snow or rain.,snow,"72529014768,KGVQ,KROC,E6481,KBUF,72498894704,KDSV,C4954"
"Perry, NY",1/17/2021,4.2,0.5,1.8,1.3,-4.3,-1.9,-2.5,73.5,0.87,100,25,"rain,snow",4.6,4.1,50.1,22.4,280.2,1001.9,98.6,14.4,22.1,1.9,1,,2021-01-17T07:38:31,2021-01-17T17:06:23,0.1,"Snow, Rain, Overcast",Cloudy skies throughout the day with rain or snow.,snow,"72529014768,KGVQ,KROC,E6481,KBUF,72498894704,KDSV,C4954"
"Perry, NY",1/18/2021,0.8,-2,-0.2,0.2,-5.3,-2.3,-2.4,85.4,2.49,100,45.83,"rain,snow",7.9,10.1,,12.2,300.4,1008.4,99.4,10.7,30.4,2.6,2,,2021-01-18T07:37:56,2021-01-18T17:07:37,0.14,"Snow, Rain, Overcast",Cloudy skies throughout the day with a chance of rain or snow throughout the day.,snow,"72529014768,KGVQ,KROC,E6481,KBUF,72498894704,KDSV,C4954"
"Perry, NY",1/19/2021,0.9,-1.8,-0.5,-1,-5.9,-3.9,-4.4,75.5,0.81,100,41.67,"rain,snow",9.2,17,49.9,21.2,265.2,1016.3,98.4,12.3,44.1,3.7,2,,2021-01-19T07:37:19,2021-01-19T17:08:51,0.19,"Snow, Rain, Overcast",Cloudy skies throughout the day with rain or snow.,snow,"72529014768,KGVQ,E4781,KROC,E6481,KBUF,72498894704,KDSV,C4954"
"Perry, NY",1/20/2021,-1.7,-5.5,-4.1,-3.7,-11.6,-8.6,-7.8,75.4,0.33,100,20.83,"rain,snow",3.7,22.5,44.6,23.6,287.4,1016.8,96.2,11.3,18.6,1.7,1,,2021-01-20T07:36:40,2021-01-20T17:10:07,0.23,"Snow, Rain, Overcast",Cloudy skies throughout the day with rain or snow clearing later.,snow,"72529014768,KGVQ,KROC,E6481,KBUF,72498894704,KDSV,C4954"
"Perry, NY",1/21/2021,3.5,-5.7,0.2,0.4,-11.7,-4.6,-5.4,66.2,0,0,0,,0,19.3,56.4,31.8,212.2,1003.6,94.2,15.9,22.3,2.1,1,,2021-01-21T07:35:58,2021-01-21T17:11:22,0.28,Overcast,Cloudy skies throughout the day.,cloudy,"72529014768,KGVQ,E4781,KROC,E6481,KBUF,72498894704,KDSV,C4954"
"Perry, NY",1/22/2021,2.1,-4.9,-0.6,-2.3,-10.4,-5.7,-5.5,69.8,1.1,100,33.33,"rain,snow",5.1,21.9,50,29.3,290.8,1008,99.1,13.6,22.5,1.8,1,,2021-01-22T07:35:14,2021-01-22T17:12:39,0.33,"Snow, Rain, Overcast",Cloudy skies throughout the day with a chance of rain or snow throughout the day.,snow,"72529014768,KGVQ,KROC,KBUF,72498894704,KDSV,C4954"
"Perry, NY",1/23/2021,-5.3,-7.4,-6.3,-10.6,-14.8,-12.6,-11.5,66.9,0.32,100,25,snow,0.4,23.7,42.5,25.4,306.8,1023.3,91.5,13.3,29.5,2.5,1,,2021-01-23T07:34:29,2021-01-23T17:13:56,0.37,"Snow, Overcast",Cloudy skies throughout the day with snow clearing later.,snow,"72529014768,KGVQ,E4781,KROC,KBUF,72498894704,KDSV,C4954"
"Perry, NY",1/24/2021,-4,-8.8,-5.9,-4,-12,-8.7,-11.5,65,0,0,0,,0,21.6,27.7,16.8,180.7,1025.9,74.8,15.6,43.3,3.7,2,,2021-01-24T07:33:41,2021-01-24T17:15:13,0.41,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72529014768,KGVQ,E4781,KROC,KBUF,72498894704,KDSV,C4954"
"Perry, NY",1/25/2021,1.6,-9.1,-4,1.6,-14.4,-6,-9.4,66.9,0,0,0,,0,17.4,,11.9,115.5,1020.2,39.6,16,38.3,3.3,2,,2021-01-25T07:32:51,2021-01-25T17:16:31,0.44,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,"72529014768,KGVQ,E4781,KROC,KBUF,72498894704,KDSV,C4954"
"Perry, NY",1/26/2021,1.2,-3.3,-0.8,-1.2,-10.2,-5.2,-4.6,75.7,3.01,100,45.83,"rain,snow",0,15.6,40.7,25.4,148.6,1010.2,95.4,12.5,13.3,1.1,1,,2021-01-26T07:31:59,2021-01-26T17:17:49,0.47,"Snow, Rain, Overcast",Cloudy skies throughout the day with rain or snow.,rain,"72529014768,KGVQ,KROC,KBUF,72498894704,KDSV,C4954"
"Perry, NY",1/27/2021,-0.9,-6.4,-3.3,-6.4,-11.7,-8.8,-6.5,78.5,0.06,100,8.33,snow,0.6,15.6,37.1,21.8,318.3,1021.1,94.9,13.8,23,1.9,1,,2021-01-27T07:31:05,2021-01-27T17:19:08,0.49,"Snow, Overcast",Cloudy skies throughout the day with snow.,snow,"72529014768,KGVQ,KROC,E6481,KBUF,72498894704,KDSV,C4954"
"Perry, NY",1/28/2021,-7.1,-8.4,-7.7,-12,-16.6,-15,-12,71.8,0.05,100,4.17,snow,2,16.9,46.4,29.2,320.1,1027.2,94.3,13,30.9,2.4,1,,2021-01-28T07:30:10,2021-01-28T17:20:26,0.5,"Snow, Overcast",Cloudy skies throughout the day with early morning snow.,snow,"72529014768,KGVQ,E4781,KROC,KBUF,72498894704,KDSV,C4954"
"Perry, NY",1/29/2021,-7.8,-11.9,-9.3,-8.2,-20.2,-15.6,-12.4,78.2,0.37,100,33.33,snow,7,22.1,45.4,25.3,324.9,1026.9,96.8,8.6,21.5,1.6,1,,2021-01-29T07:29:12,2021-01-29T17:21:46,0.51,"Snow, Overcast",Cloudy skies throughout the day with snow.,snow,"72529014768,KGVQ,E4781,KROC,KBUF,72498894704,KDSV,C4954"
"Perry, NY",1/30/2021,-4,-12.5,-8.8,-7,-17,-11.8,-12.2,76.9,0.06,100,8.33,snow,0.9,24.9,,14.4,263.6,1028.5,66.9,13.1,26.8,2.4,1,,2021-01-30T07:28:13,2021-01-30T17:23:05,0.52,"Snow, Partially cloudy",Partly cloudy throughout the day with snow clearing later.,snow,"72529014768,KGVQ,KROC,E6481,KBUF,72498894704,KDSV,C4954"
"Perry, NY",1/31/2021,-2.9,-13.3,-7.2,-8.2,-18.4,-12.5,-11.3,72.9,0,0,0,,0,22,44.6,20.9,129.8,1023.2,56.1,15.8,25.2,2.2,1,,2021-01-31T07:27:11,2021-01-31T17:24:24,0.54,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72529014768,KGVQ,KROC,E6481,KBUF,72498894704,KDSV,C4954"
"Perry, NY",2/1/2021,-4,-7.3,-5.5,-9.9,-13.3,-11.1,-8.2,81.4,0.33,100,37.5,snow,1.4,19.6,38.9,19.2,62.1,1017.9,99.8,9.1,32.6,2.8,1,,2021-02-01T07:26:08,2021-02-01T17:25:44,0.59,"Snow, Overcast",Cloudy skies throughout the day with snow.,snow,"72529014768,KGVQ,KROC,E6481,KBUF,72498894704,KDSV,C4954"
"Perry, NY",2/2/2021,-1.6,-5.7,-4,-7.4,-12.6,-10.3,-6.2,85,1.4,100,45.83,"rain,snow",5,21.6,50,28.8,342.1,1010.1,98.3,6.7,26.4,2.2,1,,2021-02-02T07:25:03,2021-02-02T17:27:03,0.63,"Snow, Rain, Overcast",Cloudy skies throughout the day with rain or snow.,snow,"72529014768,KGVQ,E4781,KROC,KBUF,72498894704,KDSV,C4954"
"Perry, NY",2/3/2021,0.5,-6.2,-2.9,-5.1,-11.9,-8.9,-7.4,71.9,0.23,100,12.5,"rain,snow",2.4,26.1,46.4,27.4,321.6,1008.4,58.6,13.2,62.5,5.4,3,,2021-02-03T07:23:57,2021-02-03T17:28:23,0.68,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with early morning snow or rain.,snow,"72529014768,KGVQ,KROC,KBUF,72498894704,KDSV,C4954"
"Perry, NY",2/4/2021,4.1,-10,-3.3,2.7,-15.4,-7,-9.2,65.9,0,0,0,,0,25,,15.7,216.7,1012.9,8.6,16,68,5.8,3,,2021-02-04T07:22:49,2021-02-04T17:29:43,0.74,Clear,Clear conditions throughout the day.,clear-day,"72529014768,KGVQ,KROC,KBUF,72498894704,KDSV,C4954"
"Perry, NY",2/5/2021,3,-3.3,0.9,-0.7,-8.8,-4.1,-5.7,61.9,0.68,100,29.17,"rain,snow",2.2,25.7,55.7,26.3,220.4,1001.4,92.1,15,45.9,4,2,,2021-02-05T07:21:39,2021-02-05T17:31:03,0.8,"Snow, Rain, Overcast",Cloudy skies throughout the day with rain or snow clearing later.,snow,"72529014768,KGVQ,KROC,E6481,KBUF,72498894704,KDSV,C4954"
"Perry, NY",2/6/2021,-2.8,-10.9,-5.2,-8.2,-14.1,-10.1,-12.4,58,0.45,100,41.67,snow,0,26.2,59.4,27.8,257.6,1014.4,53,12.9,56.4,4.8,3,,2021-02-06T07:20:28,2021-02-06T17:32:22,0.85,"Snow, Partially cloudy",Clearing in the afternoon with a chance of snow throughout the day.,snow,"72529014768,KGVQ,KROC,KBUF,72498894704,KDSV,C4954"
"Perry, NY",2/7/2021,-4,-13.4,-9.1,-9.9,-20.3,-15,-14.7,64.3,0.18,100,16.67,snow,0.3,26.3,42.5,25.2,230.4,1017.8,55.7,14.8,54.4,4.7,2,,2021-02-07T07:19:15,2021-02-07T17:33:42,0.9,"Snow, Partially cloudy",Partly cloudy throughout the day with morning snow.,snow,"72529014768,KGVQ,KROC,KBUF,72498894704,KDSV,C4954"
"Perry, NY",2/8/2021,-4.3,-16.7,-10.1,-6.2,-23.4,-13.9,-15.8,64.2,0.03,100,4.17,snow,1.6,25.4,,14.7,226.6,1028,66.2,14.8,60.7,5.3,3,,2021-02-08T07:18:00,2021-02-08T17:35:01,0.94,"Snow, Partially cloudy",Partly cloudy throughout the day with late afternoon snow.,snow,"72529014768,KGVQ,KROC,E6481,E6819,KBUF,72498894704,KDSV,C4954"
"Perry, NY",2/9/2021,-3.9,-8,-6.2,-5.1,-11.7,-8.5,-8.9,81.2,0.62,100,41.67,snow,1.8,26.3,,13.1,262.3,1025,97.9,10.1,35.8,3,1,,2021-02-09T07:16:44,2021-02-09T17:36:21,0.97,"Snow, Overcast",Cloudy skies throughout the day with a chance of snow throughout the day.,snow,"72529014768,KGVQ,KROC,KBUF,72498894704,KDSV,C4954"
"Perry, NY",2/10/2021,-4.1,-12.3,-7.3,-5.4,-17.3,-11.1,-13.1,64.3,0,0,0,,1.6,27.7,,15.7,296.2,1028,70.9,15.5,53.6,4.8,2,,2021-02-10T07:15:27,2021-02-10T17:37:40,1,Partially cloudy,Partly cloudy throughout the day.,snow,"72529014768,KGVQ,KROC,KBUF,72498894704,KDSV,C4954"
